RAW FRIES (10# BAG),RFB,"Potatoes, Red A",No,Foodservice,POTATOES 2/5,40
RAW FRIES (20# CASE),RF,"Potatoes, Red A",No,Foodservice,POTATOES 4/5,40
"ROOT VEGETABLES, MIXED (4 X 3# CS)",RV,"Squash, Butternut",No,Foodservice,4/5 NEW KRAFT,30
"RUTABAGAS, DICED (20# CASE)",RUTD,Rutabags,No,Foodservice,4/5 NEW KRAFT,32
"SQUASH, JULIENNE, (2 X 5# BAG)",SQJ,"Squash, Yellow Full",No,Foodservice,2/5 TUB,32
"SQUASH, SLICED (20# CASE)",SQS,"Squash, Yellow Full",No,Foodservice,4/5 NEW KRAFT,32
"SQUASH, SLICED (5# BAG)",SQSB,"Squash, Yellow Full",No,Foodservice,1/5 TUB,32
"SQUASH, CHAYOTE, (2 X 5# CASE)",SQJ,"Squash, Chayote ",No,Foodservice,2/5 TUB,10
"STRAWBERRIES, SLICED (5# CASE)",STRS,Strawberries ,No,Foodservice,1/5 FRUIT TRAY,8
"STRAWBERRIES, TRIMMED, WASHED (5# TRAY)",STR,Strawberries ,No,Foodservice,1/5 FRUIT TRAY,8
"SWEET POTATO, PEELED & SHRED (20# CASE)",SPSH,"Potatoes, Sweet JBO",No,Foodservice,4/5 NEW KRAFT,32
"SWEET POTATO, PEELED STICKS (20# CASE)",SPST,"Potatoes, Sweet JBO",No,Foodservice,4/5 NEW KRAFT,32
"SWEET POTATO, PEELED, DICED (20# CASE)",SPPD,"Potatoes, Sweet JBO",No,Foodservice,4/5 NEW KRAFT,32
"SWEET POTATO, WEDGES (20# CASE)",SPW,"Potatoes, Sweet JBO",No,Foodservice,4/5 NEW KRAFT,37
"SWEET POTATOES, DICED (20# CASE)",SPD,"Potatoes, Sweet JBO",No,Foodservice,4/5 NEW KRAFT,32
"SWEET POTATOES, PEELED (20# CASE)",SPP,"Potatoes, Sweet JBO",No,Foodservice,4/5 NEW KRAFT,32
